Nev;Jaras;Kisterseg;Nepesseg;Terulet
Budapest;Budapest;Budapesti;1685000;525.14
Debrecen;Debreceni;Debreceni;200000;461.65
Szeged;Szegedi;Szegedi;157000;281.00
Miskolc;Miskolci;Miskolci;143000;236.68
Pécs;Pécsi;Pécsi;139000;162.77
Győr;Győri;Győri;129000;174.62
Nyíregyháza;Nyíregyházi;Nyíregyházi;116000;274.54
Kecskemét;Kecskeméti;Kecskeméti;110000;322.57
Székesfehérvár;Székesfehérvári;Székesfehérvári;95000;170.89
Szombathely;Szombathelyi;Szombathelyi;76000;97.50
Érd;Érdi;Budaörsi;71000;60.54
Szolnok;Szolnoki;Szolnoki;66000;187.23
Tatabánya;Tatabányai;Tatabányai;65000;91.42
Sopron;Soproni;Sopron-Fertődi;63000;169.04
Kaposvár;Kaposvári;Kaposvári;59000;113.59
Veszprém;Veszprémi;Veszprémi;58000;126.93
Békéscsaba;Békéscsabai;Békéscsabai;56000;193.94
Zalaegerszeg;Zalaegerszegi;Zalaegerszegi;55000;102.46
Eger;Egri;Egri;51000;92.21
Nagykanizsa;Nagykanizsai;Nagykanizsai;45000;148.40
Dunaújváros;Dunaújvárosi;Dunaújvárosi;42000;52.66
Hódmezővásárhely;Hódmezővásárhelyi;Hódmezővásárhelyi;42000;487.98
Dunakeszi;Dunakeszi;Dunakeszi;41000;31.06
Szigetszentmiklós;Szigetszentmiklósi;Ráckevei;40000;45.65
Cegléd;Ceglédi;Ceglédi;36000;244.87
Mosonmagyaróvár;Mosonmagyaróvári;Mosonmagyaróvári;35000;85.35
Baja;Bajai;Bajai;34000;177.61
Vác;Váci;Váci;33000;61.60
Gödöllő;Gödöllői;Gödöllői;32000;61.98
Salgótarján;Salgótarjáni;Salgótarjáni;32000;102.96
Ózd;Ózdi;Ózdi;31000;91.56
Szekszárd;Szekszárdi;Szekszárdi;31000;96.27
Pápa;Pápai;Pápai;30000;91.47
Hajdúböszörmény;Hajdúböszörményi;Hajdúböszörményi;29000;370.74
Gyöngyös;Gyöngyösi;Gyöngyösi;28000;55.31
Kiskunfélegyháza;Kiskunfélegyházi;Kiskunfélegyházi;28000;256.30
Gyula;Gyulai;Gyulai;28000;255.80
Esztergom;Esztergomi;Esztergomi;28000;100.35
Ajka;Ajkai;Ajkai;27000;95.05
Jászberény;Jászberényi;Jászberényi;26000;221.35
Orosháza;Orosházi;Orosházi;26000;202.22
Kiskunhalas;Kiskunhalasi;Kiskunhalasi;26000;227.58
Szentes;Szentesi;Szentesi;25000;353.25
Kazincbarcika;Kazincbarcikai;Kazincbarcikai;25000;36.64
Siófok;Siófoki;Siófoki;25000;124.66
Hajdúszoboszló;Hajdúszoboszlói;Hajdúszoboszlói;24000;238.70
Komló;Komlói;Komlói;22000;46.55
Nagykőrös;Nagykőrösi;Ceglédi;22000;227.97
Makó;Makói;Makói;22000;229.23
Tata;Tatai;Tatai;24000;78.17
Vecsés;Vecsési;Monori;21000;36.18
Karcag;Karcagi;Karcagi;19000;368.63
Tiszafüred;Tiszafüredi;Tiszafüredi;11000;209.97
Balmazújváros;Balmazújvárosi;Balmazújvárosi;17000;205.45
Berettyóújfalu;Berettyóújfalui;Berettyóújfalui;14000;170.98
Hajdúnánás;Hajdúnánási;Hajdúböszörményi;16000;259.62
Mátészalka;Mátészalkai;Mátészalkai;16000;41.81
Kisvárda;Kisvárdai;Kisvárdai;16000;35.91
Sárospatak;Sárospataki;Sárospataki;11000;139.08
Sátoraljaújhely;Sátoraljaújhelyi;Sátoraljaújhelyi;14000;73.45
Balassagyarmat;Balassagyarmati;Balassagyarmati;14000;23.74
Keszthely;Keszthelyi;Keszthely-Hévízi;19000;75.98
Hévíz;Keszthelyi;Keszthely-Hévízi;4500;8.31
Tapolca;Tapolcai;Tapolcai;14000;63.48
Balatonfüred;Balatonfüredi;Balatonfüredi;14000;46.45
Kőszeg;Kőszegi;Kőszegi;11000;54.66
